"league", "home", "visitor", "x", "date"
303,' 3015',' 3019',' 59',' ''2025-09-24'''
303,' 3013',' 3016',' 53',' ''2025-10-01'''
303,' 3017',' 3015',' 55',' ''2025-10-01'''
303,' 3018',' 3014',' 55',' ''2025-10-01'''
303,' 3015',' 3013',' 59',' ''2025-10-08'''
303,' 3014',' 3016',' 58',' ''2025-10-08'''
303,' 3019',' 3018',' 60',' ''2025-10-08'''
303,' 3013',' 3014',' 53',' ''2025-10-15'''
303,' 3016',' 3019',' 59',' ''2025-10-15'''
303,' 3018',' 3017',' 55',' ''2025-10-15'''
303,' 3019',' 3014',' 60',' ''2025-10-22'''
303,' 3018',' 3015',' 55',' ''2025-10-22'''
303,' 3017',' 3016',' 55',' ''2025-10-22'''
303,' 3013',' 3019',' 53',' ''2025-10-29'''
303,' 3014',' 3017',' 58',' ''2025-10-29'''
303,' 3015',' 3016',' 59',' ''2025-10-29'''
303,' 3018',' 3013',' 55',' ''2025-11-05'''
303,' 3017',' 3019',' 55',' ''2025-11-05'''
303,' 3015',' 3014',' 59',' ''2025-11-05'''
303,' 3013',' 3017',' 53',' ''2025-11-12'''
303,' 3016',' 3018',' 59',' ''2025-11-12'''
303,' 3019',' 3015',' 60',' ''2025-11-12'''
303,' 3016',' 3013',' 59',' ''2025-11-19'''
303,' 3015',' 3017',' 59',' ''2025-11-19'''
303,' 3014',' 3018',' 58',' ''2025-11-19'''
303,' 3013',' 3015',' 53',' ''2025-11-26'''
303,' 3016',' 3014',' 59',' ''2025-11-26'''
303,' 3018',' 3019',' 55',' ''2025-11-26'''
305,' 3026',' 3035',' 53',' ''2025-09-03'''
305,' 3027',' 3034',' 55',' ''2025-09-03'''
305,' 3028',' 3033',' 55',' ''2025-09-03'''
305,' 3029',' 3032',' 55',' ''2025-09-03'''
305,' 3030',' 3031',' 60',' ''2025-09-03'''
305,' 3034',' 3026',' 51',' ''2025-09-10'''
305,' 3033',' 3035',' 56',' ''2025-09-10'''
305,' 3032',' 3027',' 56',' ''2025-09-10'''
305,' 3031',' 3028',' 56',' ''2025-09-10'''
305,' 3030',' 3029',' 60',' ''2025-09-10'''
305,' 3026',' 3033',' 53',' ''2025-09-17'''
305,' 3034',' 3032',' 51',' ''2025-09-17'''
305,' 3035',' 3031',' 51',' ''2025-09-17'''
305,' 3027',' 3030',' 55',' ''2025-09-17'''
305,' 3028',' 3029',' 55',' ''2025-09-17'''
305,' 3032',' 3026',' 56',' ''2025-09-24'''
305,' 3031',' 3033',' 56',' ''2025-09-24'''
305,' 3030',' 3034',' 60',' ''2025-09-24'''
305,' 3029',' 3035',' 55',' ''2025-09-24'''
305,' 3028',' 3027',' 55',' ''2025-09-24'''
305,' 3026',' 3031',' 53',' ''2025-10-01'''
305,' 3032',' 3030',' 56',' ''2025-10-01'''
305,' 3033',' 3029',' 56',' ''2025-10-01'''
305,' 3034',' 3028',' 51',' ''2025-10-01'''
305,' 3035',' 3027',' 51',' ''2025-10-01'''
305,' 3030',' 3026',' 60',' ''2025-10-08'''
